rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
331,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,Jiachi Chen; Chong Chen; Jiang Hu; John Grundy; Yanlin Wang; Ting Chen; Zibin Zheng,research-article,September 2024,ISSTA 2024: Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3650212.3680353,https://dl.acm.org/doi/10.1145/3650212.3680353,"Smart contract developers frequently seek solutions to developmental challenges on Q&A platforms such as Stack Overflow (SO). Although community responses often provide viable solutions, the embedded code snippets can also contain hidden vulnerabilities. ..."
332,PatchFinder: A Two-Phase Approach to Security Patch Tracing for Disclosed Vulnerabilities in Open-Source Software,Kaixuan Li; Jian Zhang; Sen Chen; Han Liu; Yang Liu; Yixiang Chen,research-article,September 2024,ISSTA 2024: Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3650212.3680305,https://dl.acm.org/doi/10.1145/3650212.3680305,"Open-source software (OSS) vulnerabilities are increasingly prevalent, emphasizing the importance of security patches. However, in widely used security platforms like NVD, a substantial number of CVE records still lack trace links to patches. Although ..."
333,ISSTA 2024: Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,Maria Christakis; Michael Pradel,proceeding,September 2024,,10.1145/3650212,https://dl.acm.org/doi/proceedings/10.1145/3650212,"Welcome to the 33rd edition of the International Symposium on Software Testing and Analysis, ISSTA 2024, held on September 16--20, 2024 in Vienna, Austria. ISSTA 2024 is co-located with ECOOP and MPLR 2024. ISSTA brings together academics, industrial ..."
334,NLBSE '24: Proceedings of the Third ACM/IEEE International Workshop on NL-based Software Engineering,Maliheh Izadi; Andrea Di Sorbo; Sebastiano Panichella,proceeding,August 2024,,10.1145/3643787,https://dl.acm.org/doi/proceedings/10.1145/3643787,"Natural Language Processing (NLP) refers to the automated elaboration of human language, including both algorithms that take human-produced text as input and algorithms that produce natural-looking text as outputs. NLP is widely used to optimize many ..."
335,IWSiB '24: Proceedings of the 7th ACM/IEEE International Workshop on Software-intensive Business,,proceeding,August 2024,,10.1145/3643690,https://dl.acm.org/doi/proceedings/10.1145/3643690,"The workshop brings together research communities working on softwareintensive business and software engineering. It aims to bridge the gap between the research in these areas. This year's theme, ""Software Business in the Era of Generative Artificial ..."
336,Are You a Real Software Engineer? Best Practices in Online Recruitment for Software Engineering Studies,Adam Alami; Mansooreh Zahedi; Neil Ernst,research-article,August 2024,WSESE '24: Proceedings of the 1st IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering,10.1145/3643664.3648207,https://dl.acm.org/doi/10.1145/3643664.3648207,"Online research platforms, such as Prolific, offer rapid access to diverse participant pools but also pose unique challenges in participant qualification and skill verification. Previous studies reported mixed outcomes and challenges in leveraging online ..."
337,WSESE '24: Proceedings of the 1st IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering,,proceeding,August 2024,,10.1145/3643664,https://dl.acm.org/doi/proceedings/10.1145/3643664,"WSESE 2024 was a one-day event held on April 16, 2024, in Lisbon, Portugal. The theme of the workshop was ""Methodological Issues with Empirical Studies in Software Engineering"". The primary goal was to gain a better understanding of the adoption of the ..."
338,IDE '24: Proceedings of the 1st ACM/IEEE Workshop on Integrated Development Environments,Alexander Bezzubov; Danny Dig; Timofey Bryksin; Yaroslav Golubev,proceeding,August 2024,,10.1145/3643796,https://dl.acm.org/doi/proceedings/10.1145/3643796,"Despite the research community's desire to improve the productivity of software developers, it is challenging for research to move beyond papers into the everyday practice of software development. Since IDEs are one of the most widely used tools in ..."
339,Smart Contract Vulnerability Detection: The Role of Large Language Model (LLM),Biagio Boi; Christian Esposito; Sokjoon Lee,research-article,August 2024,"ACM SIGAPP Applied Computing Review (SIGAPP), Volume 24, Issue 2",10.1145/3687251.3687253,https://dl.acm.org/doi/10.1145/3687251.3687253,Smart contracts are susceptible to various vulnerabilities that can lead to significant financial losses. The usage of tools for vulnerabilities is reducing the threats but presents some limitations related to the approach used by the tool itself. This ...
340,Q-SE 2024: Proceedings of the 5th ACM/IEEE International Workshop on Quantum Software Engineering,,proceeding,August 2024,,10.1145/3643667,https://dl.acm.org/doi/proceedings/10.1145/3643667,"The 5th International Workshop on Quantum Software Engineering (Q-SE 2024), co-located with ICSE 2024, provides a platform for researchers and practitioners to discuss challenges in developing quantum software in high-level quantum languages, novel ..."
341,"ARES '24: Proceedings of the 19th International Conference on Availability, Reliability and Security",,proceeding,July 2024,,10.1145/3664476,https://dl.acm.org/doi/proceedings/10.1145/3664476,
342,Designing '24: Proceedings of the 1st International Workshop on Designing Software,Yuanfang Cai; Michel R. V. Chaudron; Eunsuk Kang; André van der Hoek,proceeding,July 2024,,10.1145/3643660,https://dl.acm.org/doi/proceedings/10.1145/3643660,"The goals of this workshop are to: (1) bring together a group of researchers, practitioners, and educators interested in software design, (2) identify open challenges and new directions for the design of modern software systems, including grand ..."
343,Internetware '24: Proceedings of the 15th Asia-Pacific Symposium on Internetware,Hong Mei; Jian Lv; Abdelsalam Helal; Xiaoxing Ma; Shing-Chi Cheung; Jie Zhang; Tao Zhang,proceeding,July 2024,,10.1145/3671016,https://dl.acm.org/doi/proceedings/10.1145/3671016,
344,CIBDA '24: Proceedings of the 5th International Conference on Computer Information and Big Data Applications,,proceeding,July 2024,,10.1145/3671151,https://dl.acm.org/doi/proceedings/10.1145/3671151,
345,PEARC '24: Practice and Experience in Advanced Research Computing 2024: Human Powered Computing,Shawn T. Brown; Barr von Oehsen; Eric Adams; Eva Siegmann,proceeding,July 2024,,10.1145/3626203,https://dl.acm.org/doi/proceedings/10.1145/3626203,
346,GECCO '24: Proceedings of the Genetic and Evolutionary Computation Conference,Xiaodong Li; Julia Handl,proceeding,July 2024,,10.1145/3638529,https://dl.acm.org/doi/proceedings/10.1145/3638529,"GECCO is the largest peer-reviewed conference in the field of Evolutionary Computation, and the main conference of the Special Interest Group on Genetic and Evolutionary Computation (SIGEVO) of the Association for Computing Machinery (ACM)."
347,Improving the Learning of Code Review Successive Tasks with Cross-Task Knowledge Distillation,Oussama Ben Sghaier; Houari Sahraoui,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3643775,https://dl.acm.org/doi/10.1145/3643775,"Code review is a fundamental process in software development that plays a pivotal role in ensuring code quality and reducing the likelihood of errors and bugs. However, code review can be complex, subjective, and time-consuming. Quality estimation, ..."
348,An Empirical Study on Code Review Activity Prediction and Its Impact in Practice,Doriane Olewicki; Sarra Habchi; Bram Adams,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3660806,https://dl.acm.org/doi/10.1145/3660806,"During code reviews, an essential step in software quality assurance, reviewers have the difficult task of understanding and evaluating code changes to validate their quality and prevent introducing faults to the codebase. This is a tedious process where ..."
349,DeciX: Explain Deep Learning Based Code Generation Applications,Simin Chen; Zexin Li; Wei Yang; Cong Liu,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3660814,https://dl.acm.org/doi/10.1145/3660814,"Deep learning-based code generation (DL-CG) applications have shown great potential for assisting developers in programming with human-competitive accuracy. However, lacking transparency in such applications due to the uninterpretable nature of deep ..."
350,Can GPT-4 Replicate Empirical Software Engineering Research?,Jenny T. Liang; Carmen Badea; Christian Bird; Robert DeLine; Denae Ford; Nicole Forsgren; Thomas Zimmermann,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3660767,https://dl.acm.org/doi/10.1145/3660767,"Empirical software engineering research on production systems has brought forth a better understanding of the software engineering process for practitioners and researchers alike. However, only a small subset of production systems is studied, limiting ..."
351,Investigating Documented Privacy Changes in Android OS,Chuan Yan; Mark Huasong Meng; Fuman Xie; Guangdong Bai,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3660826,https://dl.acm.org/doi/10.1145/3660826,"Android has empowered third-party apps to access data and services on mobile devices since its genesis.This involves a wide spectrum of user privacy-sensitive data, such as the device ID and location. In recent years, Android has taken proactive measures ..."
352,A Deep Dive into Large Language Models for Automated Bug Localization and Repair,Soneya Binta Hossain; Nan Jiang; Qiang Zhou; Xiaopeng Li; Wen-Hao Chiang; Yingjun Lyu; Hoan Nguyen; Omer Tripp,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3660773,https://dl.acm.org/doi/10.1145/3660773,"Large language models (LLMs) have shown impressive effectiveness in various software engineering tasks, including automated program repair (APR). In this study, we take a deep dive into automated bug localization and repair utilizing LLMs. In contrast to ..."
353,CORE: Resolving Code Quality Issues using LLMs,Nalin Wadhwa; Jui Pradhan; Atharv Sonwane; Surya Prakash Sahu; Nagarajan Natarajan; Aditya Kanade; Suresh Parthasarathy; Sriram Rajamani,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3643762,https://dl.acm.org/doi/10.1145/3643762,"As software projects progress, quality of code assumes paramount importance as it affects reliability, maintainability and security of software. For this reason, static analysis tools are used in developer workflows to flag code quality issues. However, ..."
354,CodePlan: Repository-Level Coding using LLMs and Planning,Ramakrishna Bairi; Atharv Sonwane; Aditya Kanade; Vageesh D. C.; Arun Iyer; Suresh Parthasarathy; Sriram Rajamani; B. Ashok; Shashank Shet,research-article,July 2024,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 1, Issue FSE",10.1145/3643757,https://dl.acm.org/doi/10.1145/3643757,"Software engineering activities such as package migration, fixing error reports from static analysis or testing, and adding type annotations or other specifications to a codebase, involve pervasively editing the entire repository of code. We formulate ..."
355,ACM REP '24: Proceedings of the 2nd ACM Conference on Reproducibility and Replicability,,proceeding,July 2024,,10.1145/3641525,https://dl.acm.org/doi/proceedings/10.1145/3641525,
356,AI-Assisted Assessment of Coding Practices in Modern Code Review,Manushree Vijayvergiya; Małgorzata Salawa; Ivan Budiselić; Dan Zheng; Pascal Lamblin; Marko Ivanković; Juanjo Carin; Mateusz Lewko; Jovan Andonov; Goran Petrović; Daniel Tarlow; Petros Maniatis; René Just,research-article,July 2024,AIware 2024: Proceedings of the 1st ACM International Conference on AI-Powered Software,10.1145/3664646.3665664,https://dl.acm.org/doi/10.1145/3664646.3665664,Modern code review is a process in which an incremental code contribution made by a code author is reviewed by one or more peers before it is committed to the version control system. An important element of modern code review is verifying that code ...
357,Chain of Targeted Verification Questions to Improve the Reliability of Code Generated by LLMs,Sylvain Kouemo Ngassom; Arghavan Moradi Dakhel; Florian Tambon; Foutse Khomh,research-article,July 2024,AIware 2024: Proceedings of the 1st ACM International Conference on AI-Powered Software,10.1145/3664646.3664772,https://dl.acm.org/doi/10.1145/3664646.3664772,"LLM-based assistants, such as GitHub Copilot and ChatGPT, have the potential to generate code that fulfills a programming task described in a natural language description, referred to as a prompt. The widespread accessibility of these assistants enables ..."
358,AIware 2024: Proceedings of the 1st ACM International Conference on AI-Powered Software,Bram Adams; Thomas Zimmermann; Ipek Ozkaya; Dayi Lin; Jie M. Zhang,proceeding,July 2024,,10.1145/3664646,https://dl.acm.org/doi/proceedings/10.1145/3664646,"Welcome to the 1st ACM International Conference on AI-Powered Software (AIware), held on 15th and 16th July 2024 in Porto de Galinhas, Brazil co-located with the ACM International Conference on the Foundations of Software Engineering (FSE 2024). AIware ..."
359,Automated Unit Test Improvement using Large Language Models at Meta,Nadia Alshahwan; Jubin Chheda; Anastasia Finogenova; Beliz Gokkaya; Mark Harman; Inna Harper; Alexandru Marginean; Shubho Sengupta; Eddy Wang,research-article,July 2024,FSE 2024: Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,10.1145/3663529.3663839,https://dl.acm.org/doi/10.1145/3663529.3663839,"This paper describes Meta’s TestGen-LLM tool, which uses LLMs to automatically improve existing human-written tests. TestGen-LLM verifies that its generated test classes successfully clear a set of filters that assure measurable improvement over the ..."
360,FSE 2024: Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,Marcelo d'Amorim,proceeding,July 2024,,10.1145/3663529,https://dl.acm.org/doi/proceedings/10.1145/3663529,"We are pleased to welcome all delegates to FSE 2024, the ACM International Conference on the Foundations of Software Engineering (FSE) 2024. The conference now has a shorter name! FSE is an internationally renowned forum for researchers, practitioners, ..."
361,"Programming '24: Companion Proceedings of the 8th International Conference on the Art, Science, and Engineering of Programming",Emma Söderberg; Luke Church,proceeding,July 2024,,10.1145/3660829,https://dl.acm.org/doi/proceedings/10.1145/3660829,
362,ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 2,Mattia Monga; Violetta Lonati; Erik Barendsen; Judithe Sheard; James Paterson,proceeding,July 2024,,10.1145/3649405,https://dl.acm.org/doi/proceedings/10.1145/3649405,"Welcome to the 29th annual conference on Innovation and Technology in Computer Science Education (ITiCSE 2024), hosted by Universita degli Studi di Milano in Milan, Italy. ITiCSE 2024 will take place from Friday July 5 to Wednesday July 10. The ..."
363,CUI '24: Proceedings of the 6th ACM Conference on Conversational User Interfaces,Mateusz Dubiel; Luis A. Leiva; Johanne Trippas; Joel Fischer; Ilaria Torre,proceeding,July 2024,,10.1145/3640794,https://dl.acm.org/doi/proceedings/10.1145/3640794,
364,FDG '24: Proceedings of the 19th International Conference on the Foundations of Digital Games,Gillian Smith; Jim Whitehead; Ben Samuel; Katta Spiel; Riemer van Rozen,proceeding,July 2024,,10.1145/3649921,https://dl.acm.org/doi/proceedings/10.1145/3649921,
365,ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,Mattia Monga; Violetta Lonati; Erik Barendsen; Judithe Sheard; James Paterson,proceeding,July 2024,,10.1145/3649217,https://dl.acm.org/doi/proceedings/10.1145/3649217,"Welcome to the 29th annual conference on Innovation and Technology in Computer Science Education (ITiCSE 2024), hosted by Università degli Studi di Milano in Milan, Italy. ITiCSE 2024 will take place from Friday July 5 to Wednesday July 10. The ..."
366,DevGPT: Studying Developer-ChatGPT Conversations,Tao Xiao; Christoph Treude; Hideaki Hata; Kenichi Matsumoto,short-paper,July 2024,MSR '24: Proceedings of the 21st International Conference on Mining Software Repositories,10.1145/3643991.3648400,https://dl.acm.org/doi/10.1145/3643991.3648400,"This paper introduces DevGPT, a dataset curated to explore how software developers interact with ChatGPT, a prominent large language model (LLM). The dataset encompasses 29,778 prompts and responses from ChatGPT, including 19,106 code snippets, and is ..."
367,MSR '24: Proceedings of the 21st International Conference on Mining Software Repositories,Diomidis Spinellis; Alberto Bacchelli; Eleni Constantinou,proceeding,July 2024,,10.1145/3643991,https://dl.acm.org/doi/proceedings/10.1145/3643991,MSR is a thriving research community that organizes a yearly conference with a solid reputation amongst software engineering researchers.
368,ASIA CCS '24: Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,Jianying Zhou; Tony Q. S. Quek; Debin Gao; Alvaro Cardenas,proceeding,July 2024,,10.1145/3634737,https://dl.acm.org/doi/proceedings/10.1145/3634737,"It is our great pleasure to welcome you to ACM AsiaCCS 2024, the 19th ACM Asia Conference on Computer and Communications Security. AsiaCCS 2024 takes place in Singapore from 1 July to 5 July."
369,A Systematic Literature Review on Reasons and Approaches for Accurate Effort Estimations in Agile,Jirat Pasuksmit; Patanamon Thongtanunam; Shanika Karunasekera,survey,June 2024,"ACM Computing Surveys (CSUR), Volume 56, Issue 11",10.1145/3663365,https://dl.acm.org/doi/10.1145/3663365,"Background: Accurate effort estimation is crucial for planning in Agile iterative development. Agile estimation generally relies on consensus-based methods like planning poker, which require less time and information than other formal methods (e.g., ..."
370,Risky Dynamic Typing-related Practices in Python: An Empirical Study,Zhifei Chen; Lin Chen; Yibiao Yang; Qiong Feng; Xuansong Li; Wei Song,research-article,June 2024,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 33, Issue 6",10.1145/3649593,https://dl.acm.org/doi/10.1145/3649593,"Python’s dynamic typing nature provides developers with powerful programming abstractions. However, many type-related bugs are accumulated in code bases of Python due to the misuse of dynamic typing. The goal of this article is to aid in the understanding ..."
371,Exploring ChatGPT for identifying sexism in the communication of software developers,Sayma Sultana; Maimuna Begum Kali,research-article,June 2024,PETRA '24: Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,10.1145/3652037.3663918,https://dl.acm.org/doi/10.1145/3652037.3663918,"The software development community, largely dominated by male developers, frequently exhibits instances of sexism and misogyny. While efforts have been made to automatically detect toxic and misogynistic language within this community, existing tools ..."
372,PETRA '24: Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,,proceeding,June 2024,,10.1145/3652037,https://dl.acm.org/doi/proceedings/10.1145/3652037,
373,WCCCE '24: Proceedings of the 26th Western Canadian Conference on Computing Education,Youry Khmelevsky; Bill Bird,proceeding,June 2024,,10.1145/3660650,https://dl.acm.org/doi/proceedings/10.1145/3660650,
374,Automatically Inspecting Thousands of Static Bug Warnings with Large Language Model: How Far Are We?,Cheng Wen; Yuandao Cai; Bin Zhang; Jie Su; Zhiwu Xu; Dugang Liu; Shengchao Qin; Zhong Ming; Tian Cong,research-article,June 2024,"ACM Transactions on Knowledge Discovery from Data (TKDD), Volume 18, Issue 7",10.1145/3653718,https://dl.acm.org/doi/10.1145/3653718,"Static analysis tools for capturing bugs and vulnerabilities in software programs are widely employed in practice, as they have the unique advantages of high coverage and independence from the execution environment. However, existing tools for analyzing ..."
375,LLM-Based Chatbots for Mining Software Repositories: Challenges and Opportunities,Samuel Abedu; Ahmad Abdellatif; Emad Shihab,research-article,June 2024,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3661167.3661218,https://dl.acm.org/doi/10.1145/3661167.3661218,"Software repositories have a plethora of information about software development, encompassing details such as code contributions, bug reports and code reviews. This rich source of data can be harnessed to enhance not only software quality and ..."
376,Code Summarization without Direct Access to Code - Towards Exploring Federated LLMs for Software Engineering,Jahnavi Kumar; Sridhar Chimalakonda,research-article,June 2024,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3661167.3661210,https://dl.acm.org/doi/10.1145/3661167.3661210,"Software Engineering (SE) researchers are extensively applying Large Language Models (LLMs) to address challenges in SE tasks such as code clone detection, code summarization, and program comprehension. Despite promising results, LLMs have to be fine-..."
377,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,,proceeding,June 2024,,10.1145/3661167,https://dl.acm.org/doi/proceedings/10.1145/3661167,
378,ICPC '24: Proceedings of the 32nd IEEE/ACM International Conference on Program Comprehension,Igor Steinmacher; Mario Linares-Vasquez; Kevin Patrick Moran; Olga Baysal,proceeding,June 2024,,10.1145/3643916,https://dl.acm.org/doi/proceedings/10.1145/3643916,ICPC is the premier (CORE A) venue for research on program comprehension. Research on program comprehension encompasses both human activities for comprehending the software and technologies for supporting such comprehension.
379,Commit Message Generation via ChatGPT: How Far Are We?,Yifan Wu; Ying Li; Siyu Yu,short-paper,June 2024,FORGE '24: Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering,10.1145/3650105.3652300,https://dl.acm.org/doi/10.1145/3650105.3652300,"Commit messages concisely describe code changes in natural language and are important for software maintenance. Various automatic commit message generation approaches have been proposed, such as retrieval-based, learning-based, and hybrid approaches. ..."
380,FORGE '24: Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering,David Lo; Xin Xia; Massimiliano Di Penta; Xing Hu,proceeding,June 2024,,10.1145/3650105,https://dl.acm.org/doi/proceedings/10.1145/3650105,"FORGE aims to bring researchers, practitioners, and educators from the AI and Software Engineering community to solve the new challenges we meet in the era of foundation models."
381,CAIN '24: Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI,Jane Cleland-Huang; Jan Bosch; Henry Muccini; Grace Lewis,proceeding,June 2024,,10.1145/3644815,https://dl.acm.org/doi/proceedings/10.1145/3644815,"The goal of the CAIN Conference Series is to bring together researchers and practitioners in software engineering, data science, and artificial intelligence (AI) as part of a growing community that is targeting the challenges of Software Engineering for ..."
382,Exploring the Potential of Large Language Models in Self-adaptive Systems,Jialong Li; Mingyue Zhang; Nianyu Li; Danny Weyns; Zhi Jin; Kenji Tei,short-paper,June 2024,SEAMS '24: Proceedings of the 19th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,10.1145/3643915.3644088,https://dl.acm.org/doi/10.1145/3643915.3644088,"Large Language Models (LLMs), with their abilities in knowledge acquisition and reasoning, can potentially enhance the various aspects of Self-adaptive Systems (SAS). Yet, the potential of LLMs in SAS remains largely unexplored and ambiguous, due to the ..."
383,SEAMS '24: Proceedings of the 19th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,Luciano Baresi; Xiaoxing Ma; Liliana Pasquale,proceeding,June 2024,,10.1145/3643915,https://dl.acm.org/doi/proceedings/10.1145/3643915,
384,ICSE-SEIS'24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Society,Ana Paiva; Rui Abreu; Bonita Sharif; Xin Xia; Prof. Abhik Roychoudhury; Margaret Storey,proceeding,June 2024,,10.1145/3639475,https://dl.acm.org/doi/proceedings/10.1145/3639475,
385,ETRA '24: Proceedings of the 2024 Symposium on Eye Tracking Research and Applications,Mohamed Khamis; Yusuke Sugano; Ludwig Sidenmark,proceeding,June 2024,,10.1145/3649902,https://dl.acm.org/doi/proceedings/10.1145/3649902,
386,Resolving Code Review Comments with Machine Learning,Alexander Froemmgen; Jacob Austin; Peter Choy; Nimesh Ghelani; Lera Kharatyan; Gabriela Surita; Elena Khrapko; Pascal Lamblin; Pierre-Antoine Manzagol; Marcus Revaj; Maxim Tabachnyk; Daniel Tarlow; Kevin Villela; Daniel Zheng; Satish Chandra; Petros Maniatis,research-article,May 2024,ICSE-SEIP '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3639477.3639746,https://dl.acm.org/doi/10.1145/3639477.3639746,"Code reviews are a critical part of the software development process, taking a significant amount of the code authors' and the code reviewers' time. As part of this process, the reviewer inspects the proposed code and asks the author for code changes ..."
387,Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach,Jinxi Kuang; Jinyang Liu; Junjie Huang; Renyi Zhong; Jiazhen Gu; Lan Yu; Rui Tan; Zengyin Yang; Michael R. Lyu,research-article,May 2024,ICSE-SEIP '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3639477.3639745,https://dl.acm.org/doi/10.1145/3639477.3639745,"Due to the scale and complexity of cloud systems, a system failure would trigger an ""alert storm"", i.e., massive correlated alerts. Although these alerts can be traced back to a few root causes, the overwhelming number makes it infeasible for manual ..."
388,ICSE-SEIP '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,Ana Paiva; Rui Abreu; Maurício Aniche; Nachiappan Nagappan; Abhik Roychoudhury; Margaret Storey,proceeding,May 2024,,10.1145/3639477,https://dl.acm.org/doi/proceedings/10.1145/3639477,
389,Automated Smart Contract Vulnerability Detection using Fine-tuned Large Language Models,Zhiju Yang; Gaoyuan Man; Songqing Yue,research-article,May 2024,ICBTA '23: Proceedings of the 2023 6th International Conference on Blockchain Technology and Applications,10.1145/3651655.3651658,https://dl.acm.org/doi/10.1145/3651655.3651658,"As decentralized finance (DeFi) built on blockchain grows rapidly, the security of smart contracts underpinning DeFi has become a major concern due to exploits leading to billions in damages. Although tools exist for automated vulnerability detection in ..."
390,ICBTA '23: Proceedings of the 2023 6th International Conference on Blockchain Technology and Applications,,proceeding,May 2024,,10.1145/3651655,https://dl.acm.org/doi/proceedings/10.1145/3651655,
391,ICSE-SEET '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,Ana Paiva; Rui Abreu; Kiev Gama; Janet Siegmund; Abhik Roychoudhury; Margaret Storey,proceeding,May 2024,,10.1145/3639474,https://dl.acm.org/doi/proceedings/10.1145/3639474,
392,ICSE-Companion '24: Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,Ana Paiva; Rui Abreu; Abhik Roychoudhury; Margaret Storey,proceeding,May 2024,,10.1145/3639478,https://dl.acm.org/doi/proceedings/10.1145/3639478,"ICSE is the leading and, by far, the largest conference in Software Engineering, attracting researchers, practitioners, and students worldwide. ICSE2024 is co-located with 11 conferences and symposia this year, many long-established and prestigious ..."
393,SAC '24: Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,Jiman Hong; Juw Won Park; Adam Przybyłek,proceeding,May 2024,,10.1145/3605098,https://dl.acm.org/doi/proceedings/10.1145/3605098,"On behalf of the Organizing Committee, I extend a warm welcome to you at the 39th Annual ACM Symposium on Applied Computing (SAC 2024), taking place in Ávila, Spain, and hosted by the University of Salamanca. For more than three decades, this ..."
394,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,Ana Paiva; Rui Abreu; Abhik Roychoudhury; Margaret Storey,proceeding,May 2024,,10.1145/3597503,https://dl.acm.org/doi/proceedings/10.1145/3597503,
395,How Knowledge Workers Think Generative AI Will (Not) Transform Their Industries,Allison Woodruff; Renee Shelby; Patrick Gage Kelley; Steven Rousso-Schindler; Jamila Smith-Loud; Lauren Wilcox,research-article,May 2024,CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642700,https://dl.acm.org/doi/10.1145/3613904.3642700,"Generative AI is expected to have transformative effects in multiple knowledge industries. To better understand how knowledge workers expect generative AI may affect their industries in the future, we conducted participatory research workshops for seven ..."
396,CHI EA '24: Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Florian Floyd Mueller; Penny Kyburz; Julie R. Williamson; Corina Sas,proceeding,May 2024,,10.1145/3613905,https://dl.acm.org/doi/proceedings/10.1145/3613905,
397,CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,Florian Floyd Mueller; Penny Kyburz; Julie R. Williamson; Corina Sas; Max L. Wilson; Phoebe Toups Dugas; Irina Shklovski,proceeding,May 2024,,10.1145/3613904,https://dl.acm.org/doi/proceedings/10.1145/3613904,
398,ICPE '24 Companion: Companion of the 15th ACM/SPEC International Conference on Performance Engineering,Simonetta Balsamo; William Knottenbelt; Cristina L. Abad; Weiyi Shang,proceeding,May 2024,,10.1145/3629527,https://dl.acm.org/doi/proceedings/10.1145/3629527,It is our great pleasure to present the ICPE 2024 workshops program. ICPE workshops extend the main conference by providing a forum to foster discussion on hot and emerging topics from the broad field of performance engineering. They offer a highly ...
399,ACMSE '24: Proceedings of the 2024 ACM Southeast Conference,Dan Lo; Eric Gamess,proceeding,April 2024,,10.1145/3603287,https://dl.acm.org/doi/proceedings/10.1145/3603287,"We are pleased to welcome you to the 2024 ACM Southeast Conference (ACMSE 2024) sponsored by ACM and the College of Computing and Software Engineering (CCSE) at Kennesaw State University, Marietta, Georgia, USA. ACMSE 2024 continues the ACM Southeast ..."
400,EuroSys '24: Proceedings of the Nineteenth European Conference on Computer Systems,,proceeding,April 2024,,10.1145/3627703,https://dl.acm.org/doi/proceedings/10.1145/3627703,
401,ChatGPT Incorrectness Detection in Software Reviews,Minaoar Hossain Tanzil; Junaed Younus Khan; Gias Uddin,research-article,April 2024,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,10.1145/3597503.3639194,https://dl.acm.org/doi/10.1145/3597503.3639194,We conducted a survey of 135 software engineering (SE) practitioners to understand how they use Generative AI-based chatbots like ChatGPT for SE tasks. We find that they want to use ChatGPT for SE tasks like software library selection but often worry ...
